"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
792478,"Graham, D. L., Grace, C. E., Braun, A. A., Schaefer, T. L., Skelton, M. R., Tang, P. H., Vorhees, C. V., Williams, M. T.","Effects of developmental stress and lead (Pb) on corticosterone after chronic and acute stress, brain monoamines, and blood Pb levels in rats",2011,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Neurotransmitter,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (vehicle), M/F, n = 4-8 
1 mg/kg, M/F, n = 4-8
10 mg/kg, M/F, n = 4-8","Pb acetate",,,"Oral, gavage",,,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 4 to PND 28, every other day","Short-Term (less than or equal to 30 days)",24,,,"Pups received Pb by gavage every other day","PND 11, 19, 29","PND 29:
0.289 ug/dL for Control 
3.27 ug/dL for 1 mg/kg 
12.6 ug/dL for 10 mg/kg","PND 29:
0.289 ug/dL for Control 
3.27 ug/dL for 1 mg/kg 
12.6 ug/dL for 10 mg/kg",Yes,"The authors measured multiple monoamines (dopamine, DOPAC, HVA, norepinephrine, serotonin, and 5-HIAA) in the hippocampus, striatum, and hypothalamus of rats. An additional factor in the study was the presence of long-term stress in form of barren (bedding-free caging)."
1530804,"Liu, M. C., Liu, X. Q., Wang, W., Shen, X. F., Che, H. L., Guo, Y. Y., Zhao, M. G., Chen, J. Y., Luo, W. J.","Involvement of microglia activation in the lead induced long-term potentiation impairment",2012,carlson.laura@epa.gov,2,"Brain Structure and Function",Electrophysiology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water),  M, n = 20 
100 ppm, M, n = 20","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"PND 24 to PND 80",,,"Long-Term (greater than 30 days)",56,"Male SD rats were exposed to Pb Acetate via drinking water from PND 24 to PND 80.  Coronal brain slices from a 6-8 week old rat including hippocampus were prepared immediately following euthanasia.  Figure 1 contains the sample size information on slices and number of rats fo rthe long term potentiation responses. Figure S1 contains the BLL data, which actually displays BLL for animals dosed with 100, 200, or 30 ppm Pb acetate for 8 weeks (measured BLL at 3, 4, 5, 6, and 7 weeks), but the rest of the paper appears to focus on the 100ppm dose group (n=6).","PND 56","PND 21: 
15 ug/L (1.5 ug/dL) for Control
45 ug/L (4.5 ug/dL) for 100 ppm

PND 28:
14 ug/L (1.4 ug/dL) for Control
94 ug/L (9.4 ug/dL) for 100 ppm 

PND 35:
16  ug/L (1.6 ug/dL) for Control
103 ug/L (10.3 ug/dL) for 100 ppm 

PND 42:
13 ug/L (1.3 ug/dL) for Control
94ug/L (9.4 ug/dL) for 100 ppm 

PND 49:
14  ug/L (1.4 ug/dL) for Control
98ug/L (9.8 ug/dL) for 100 ppm","PND 21: 
1.5 ug/dL for Control
4.5 ug/dL for 100 ppm

PND 28:
1.4 ug/dL for Control
9.4 ug/dL for 100 ppm 

PND 35:
1.6 ug/dL for Control
10.3 ug/dL for 100 ppm 

PND 42:
1.3 ug/dL for Control
9.4 ug/dL for 100 ppm 

PND 49:
1.4 ug/dL for Control
9.8 ug/dL for 100 ppm",Yes,"The LTP measurements were in brain slices from recently killed rats that were exposed in-vivo to Pb. We had some discussion about whether this should be considered supplemental or a main health outcome."
2238755,"Cory-Slechta, D. A., Virgolini, M. B., Liu, S., Weston, D.","Enhanced stimulus sequence-dependent repeated learning in male offspring after prenatal stress alone or in conjunction with lead exposure",2012,Anderson.Timothy@epa.gov,2,"Cognitive Function","Operant Behavior",Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control (tap water), M, n = 12
50 ppm, M, n = 12","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -60 to 10 mo",,,"Long-Term (greater than 30 days)",360,"Animals in the ""lifetime exposure"" group were exposed beginning 2 mo prior to conception and continuing until the conclusion of the study at 10 mo of age. There was an additional ""maternal exposure"" arm of the design that began 2 mo prior to conception and ended at weaning with a higher dose of Pb (this resulted in a BLL that exceeded PECOS relevance and was not extracted).","2-3 mo to 10 mo","PND 5-6:
< 5 ug/dL for Control
12.5 ug/dL for 50 ppm

2.5 mo:
< 5 ug/dL for Control
6.43 ug/dL for 50 ppm

10 mo:
< 5 ug/dL for Control
8.98 ug/dL for 50 ppm","PND 5-6:
< 5 ug/dL for Control
12.5 ug/dL for 50 ppm

2.5 mo:
< 5 ug/dL for Control
6.43 ug/dL for 50 ppm

10 mo:
< 5 ug/dL for Control
8.98 ug/dL for 50 ppm",Yes,"The reported limit of detection for BLL determination was 5 ug/dL so control levels are reported as < 5 ug/dL. 

Authors state that behavioral testing began at 2-3 mo of age and ended at 10-11 mo when the animals were sacrificed. This likely reflects the variation in 1) time of birth and 2) time to complete behavioral training, which appears to have been staggered somewhat. 

Only male offspring were tested.

This study includes a co-exposure to prenatal stress. These groups were not extracted."
2238755,"Cory-Slechta, D. A., Virgolini, M. B., Liu, S., Weston, D.","Enhanced stimulus sequence-dependent repeated learning in male offspring after prenatal stress alone or in conjunction with lead exposure",2012,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Neurotransmitter,Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control (tap water), M, n = 12
50 ppm Pb, M, n = 12","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -60 to 10 mo",,,"Long-Term (greater than 30 days)",360,"Animals in the ""lifetime exposure"" group were exposed beginning 2 mo prior to conception and continuing until the conclusion of the study at 10 mo of age. There was an additional ""maternal exposure"" arm of the design that began 2 mo prior to conception and ended at weaning with a higher dose of Pb (this resulted in a BLL that exceeded PECOS relevance and was not extracted).","10-11 mo","PND 5-6:
< 5 ug/dL for Control
12.5 ug/dL for 50 ppm

2.5 mo:
< 5 ug/dL for Control
6.43 ug/dL for 50 ppm

10 mo:
< 5 ug/dL for Control
8.98 ug/dL for 50 ppm","PND 5-6:
< 5 ug/dL for Control
12.5 ug/dL for 50 ppm

2.5 mo:
< 5 ug/dL for Control
6.43 ug/dL for 50 ppm

10 mo:
< 5 ug/dL for Control
8.98 ug/dL for 50 ppm",Yes,"The reported limit of detection for BLL determination was 5 ug/dL so control levels are reported as < 5 ug/dL. 

Monoamine (DA, DOPAC, HVA, NE, 5-HT, 5-HIAA) concentrations were measured in frontal cortex, nucleus accumbens, and striatum at the conclusion of behavioral testing, 10-11 mo of age.  

Only male offspring were tested.

This study includes a coexposure to prenatal stress but these groups were not extracted here."
2830614,"Zou, Y., Feng, W., Wang, W., Chen, Y., Zhou, Z., Li, Q., Zhao, T., Mao, G., Wu, X., Yang, L.","Protective Effect of Porcine Cerebral Hydrolysate Peptides on Learning and Memory Deficits and Oxidative Stress in Lead-Exposed Mice",2015,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,Mouse,,,,,,,,ICR,,,,,,"Control (distilled water), M, n = 10
250 mg/L solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"~5 wk to 8 wk","Short-Term (less than or equal to 30 days)",21,,,"Mice were obtained on PND 30 and acclimated. The acclimation time was not reported, so start/end date of dosing is estimated.","8 wk","8 wk:
1.8 ug/dL for Control
21.7 ug/dL for 250 mg/L",,Yes,"MWM endpoints include: escape latency over 5 days, time in target quadrant, escape latency, number of crossings. Significant differences were reported in all endpoints."
2830614,"Zou, Y., Feng, W., Wang, W., Chen, Y., Zhou, Z., Li, Q., Zhao, T., Mao, G., Wu, X., Yang, L.","Protective Effect of Porcine Cerebral Hydrolysate Peptides on Learning and Memory Deficits and Oxidative Stress in Lead-Exposed Mice",2015,Hester.Kirstin@epa.gov,2,"Motor Function","Rotarod Test",Yes,,,,,Mouse,,,,,,,,ICR,,,,,,"Control (distilled water), M, n = 10
250 mg/L solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"~5 wk to 8 wk","Short-Term (less than or equal to 30 days)",21,,,"Mice were obtained on PND 30 and acclimated. The acclimation time was not reported, so start/end date of dosing is estimated.","8 wk","8 wk:
1.8 ug/dL for Control
21.7 ug/dL for 250 mg/L",,Yes,"Modifying factors include exposure during the adolescent phase.
No significant differences in latency to fall in rotarod test."
2830614,"Zou, Y., Feng, W., Wang, W., Chen, Y., Zhou, Z., Li, Q., Zhao, T., Mao, G., Wu, X., Yang, L.","Protective Effect of Porcine Cerebral Hydrolysate Peptides on Learning and Memory Deficits and Oxidative Stress in Lead-Exposed Mice",2015,Hester.Kirstin@epa.gov,2,"Motor Function","Locomotor Activity",Yes,,,,,Mouse,,,,,,,,ICR,,,,,,"Control (distilled water), M, n = 10
250 mg/L solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"~5 wk to 8 wk","Short-Term (less than or equal to 30 days)",21,,,"Mice were obtained on PND 30 and acclimated. The acclimation time was not reported, so start/end date of dosing is estimated.","8 wk","8 wk:
1.8 ug/dL for Control
21.7 ug/dL for 250 mg/L",,Yes,"Modifying factors include exposure during the adolescent phase.
An increase in spontaneous locomotor activity was found in the treated group."
2855467,"Cory-Slechta, D. A., Merchant-Borna, K., Allen, J. L., Liu, S., Weston, D., Conrad, K.","Variations in the nature of behavioral experience can differentially alter the consequences of developmental exposures to lead, prenatal stress, and the combination",2013,Hester.Kirstin@epa.gov,2,"Cognitive Function","Operant Behavior",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled deionized water) - no stress (NS), M/F, n = 10-16
Control (distilled deionized water) - prenatal stress (PS), M/F, n = 10-16
100 ppm (NS), M/F, n = 10-16
100 ppm (PS), M/F, n = 10-16","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -60 to 12 mo",,,"Long-Term (greater than 30 days)",446,"Dams assigned to stress conditions were exposed to restraint stress between GD 11-19. Timing of behavioral tests was reported to begin between 7-10 months. Exposure time was calculated using 12 months (12 mo + 21 days gestation + 2 mo preconception exposure).","7-12 mo","PND 75 - Females:
<LOD for Control (NS)
<LOD for Control (PS)
8.42 ug/dL for 100 ppm (NS)
9.94 ug/dL for 100 ppm (PS)

PND 75 - Males: 
<LOD for Control (NS)
<LOD for Control (PS)
7.05 ug/dL for 100 ppm (NS)
7.16 ug/dL for 100 ppm (PS) 

12 mo - Females:
<LOD for Control (NS)
<LOD for Control (PS)
9.38 ug/dL for 100 ppm (NS)
10.1 ug/dL for 100 ppm (PS)

12 mo - Males: 
<LOD for Control (NS)
<LOD for Control (PS)
6.94 ug/dL for 100 ppm (NS)
8.03 ug/dL for 100 ppm (PS)","PND 75 - Females:
<LOD for Control (NS)
<LOD for Control (PS)
8.42 ug/dL for 100 ppm (NS)
9.94 ug/dL for 100 ppm (PS)

PND 75 - Males: 
<LOD for Control (NS)
<LOD for Control (PS)
7.05 ug/dL for 100 ppm (NS)
7.16 ug/dL for 100 ppm (PS) 

12 mo - Females:
<LOD for Control (NS)
<LOD for Control (PS)
9.38 ug/dL for 100 ppm (NS)
10.1 ug/dL for 100 ppm (PS)

12 mo - Males: 
<LOD for Control (NS)
<LOD for Control (PS)
6.94 ug/dL for 100 ppm (NS)
8.03 ug/dL for 100 ppm (PS)",Yes,"Subsets of dams were exposed to intermittent restraint stress during gestation. Operant conditioning tests  appear to also be done in female mice, but results were not reported. Female sample size for operant behaviors can be inferred to be similar to males, but it is not directly reported. BLLs on PND 75 were determined using a subset of animals (n = 4 - 9) not used for later behavioral testing. BLLs were determined separately for animals assigned to operant conditioning vs forced swim test (extracted on a separate line).

This study also conducted an analysis of neurotransmitters (dopamine, dihydroxyphenylacetic acid, homovanillic acid, norepinephrine, serotonin, and 5-hydroxyindoleacetic acid, glutamate, glutamine, and GABA) in multiple brain regions (frontal cortex, striatum, midbrain, hippocampus)."
2855467,"Cory-Slechta, D. A., Merchant-Borna, K., Allen, J. L., Liu, S., Weston, D., Conrad, K.","Variations in the nature of behavioral experience can differentially alter the consequences of developmental exposures to lead, prenatal stress, and the combination",2013,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Forced Swim Test",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled deionized water) - no stress (NS), M/F, n = 8-16
Control (distilled deionized water) - prenatal stress (PS), M/F, n =  8-16
100 ppm (NS), M/F, n =  8-16
100 ppm (PS), M/F, n =  8-16","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD -60 to 12 mo",,,"Long-Term (greater than 30 days)",446,"Dams assigned to stress conditions were exposed to restraint stress between GD 11-19. 
Timing of behavioral tests was reported to start between 7-10 months. Exposure time was calculated using 12 months (12 mo + 21 days gestation + 2 mo preconception exposure).","7-12 mo","PND 75 - Females:
<LOD for Control (NS)
<LOD for Control (PS)
8.42 ug/dL for 100 ppm (NS)
9.94 ug/dL for 100 ppm (PS)
PND 75 - Males: 
<LOD for Control (NS)
<LOD for Control (PS)
7.05 ug/dL for 100 ppm (NS)
7.16 ug/dL for 100 ppm (PS) 
12 mo - Females:
<LOD for Control (NS)
<LOD for Control (PS)
9.38 ug/dL for 100 ppm (NS)
10.1 ug/dL for 100 ppm (PS)
12 mo - Males: 
<LOD for Control (NS)
<LOD for Control (PS)
6.94 ug/dL for 100 ppm (NS)
8.03 ug/dL for 100 ppm (PS)",,Yes,"Subsets of dams were exposed to intermittent restraint stress during gestation. 

Forced swim tests appear to have been done in female mice, but results were not reported. Female sample size forced swim tests can be inferred to be similar to males, but it is not directly reported. 

BLLs on PND 75 were determined using a subset of animals (n = 4 - 9) not used for later behavioral testing. BLLs were determined separately for animals assigned to operant conditioning vs forced swim test (extracted on a separate line).

This study also conducted an analysis of neurotransmitters (dopamine, dihydroxyphenylacetic acid, homovanillic acid, norepinephrine, serotonin, and 5-hydroxyindoleacetic acid, glutamate, glutamine, and GABA) in multiple brain regions (frontal cortex, striatum, midbrain, hippocampus)."
2857020,"Weston, H. I., Weston, D. D., Allen, J. L., Cory-Slechta, D. A.","Sex-dependent impacts of low-level lead exposure and prenatal stress on impulsive choice behavior and associated biochemical and neurochemical manifestations",2014,Anderson.Timothy@epa.gov,2,"Cognitive Function","Operant Behavior",Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control (tap water), M/F, n = 22 (11/11)
50 ppm, M/F, n = 22 (11/11)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -60 to PND 21",,,"Long-Term (greater than 30 days)",97,"dams were exposed to Pb in drinking water from approximately 3 weeks of age through weaning. mating occurred when dams were 3 mos of age. The authors report that Pb exposure began 2-3 mos prior to breeding. 

This study included prenatal stress x Pb exposure arms, only the non prenatal stress groups were extracted here.","PND 60+","PND 5-6 - Males:
0.76 ug/dL for Control
15.7 ug/dL for 50 ppm

PND 5-6 - Females:
0.82 ug/dL for Control
14.7 ug/dL for 50 ppm","PND 5-6 - Males:
0.76 ug/dL for Control
15.7 ug/dL for 50 ppm

PND 5-6 Females:
0.82 ug/dL for Control
14.7 ug/dL for 50 ppm",Yes,"Offspring were trained on delay of reward paradigms beginning on PND 60. The authors do not report exactly how long behavioral testing continued. Results show some paradigms continuing out to 18 daily sessions, indicating that testing continued at least a month past PND 60. the biochemical and blood pb determinations were carried out in subsets of animals that did not undergo behavioral testing. Is there a companion paper that describes biochemical outcomes in these behaviorally tested offspring?"
